Totalt kapital på Avanza;Totalt kapital i Auto;Kapital i Avanza Auto 1;Kapital i Avanza Auto 2;Kapital i Avanza Auto 3;Kapital i Avanza Auto 4;Kapital i Avanza Auto 5;Kapital i Avanza Auto 6;Kapital i aktier;Kapital i fonder (inklusive Auto);Kund sedan år;Kön;Åldersintervall;Inloggade dagar senaste månaden
11457000;0;0;0;0;0;0;0;3651000;3111000;2017;Företag;-;29
202000;0;0;0;0;0;0;0;0;202000;2015;Kvinna;51-60;0
2167000;0;0;0;0;0;0;0;2132000;0;2015;Man;41-50;16
2943000;0;0;0;0;0;0;0;0;0;2017;Kvinna;51-60;5
30000;0;0;0;0;0;0;0;6000;19000;2020;Kvinna;18-30;25
142000;0;0;0;0;0;0;0;123000;13000;2017;Kvinna;18-30;22
35000;0;0;0;0;0;0;0;0;22000;2015;Kvinna;41-50;2
40000;0;0;0;0;0;0;0;40000;0;2016;Man;31-40;2
19000;0;0;0;0;0;0;0;18000;2000;2019;Man;11-17;13
2329000;0;0;0;0;0;0;0;1105000;0;2006;Kvinna;41-50;21
171000;0;0;0;0;0;0;0;168000;0;2000;Man;51-60;0
4000;0;0;0;0;0;0;0;0;4000;2021;Kvinna;18-30;7
1000;0;0;0;0;0;0;0;1000;0;2021;Man;31-40;19
542000;0;0;0;0;0;0;0;534000;6000;2002;Man;81-90;1
20000;0;0;0;0;0;0;0;20000;0;2021;Man;41-50;0
80000;0;0;0;0;0;0;0;0;80000;2019;Man;41-50;5
104000;0;0;0;0;0;0;0;1000;71000;2021;Man;18-30;29
21000;0;0;0;0;0;0;0;21000;0;2021;Man;18-30;17
0;0;0;0;0;0;0;0;0;0;2007;Man;61-70;0
75000;0;0;0;0;0;0;0;33000;34000;2018;Kvinna;51-60;1
55000;0;0;0;0;0;0;0;17000;0;2014;Man;41-50;12
18000;11000;0;0;0;0;11000;0;0;18000;2021;Kvinna;18-30;9
41000;0;0;0;0;0;0;0;0;41000;2014;Kvinna;61-70;1
1629000;0;0;0;0;0;0;0;1197000;263000;2005;Man;81-90;29
83000;0;0;0;0;0;0;0;70000;0;2020;Företag;-;18
2000;0;0;0;0;0;0;0;0;0;2021;Man;18-30;4
735000;0;0;0;0;0;0;0;717000;15000;2005;Man;71-80;21
26000;0;0;0;0;0;0;0;26000;0;2021;Man;18-30;26
0;0;0;0;0;0;0;0;0;0;2017;Kvinna;51-60;6
